ai	 a1 j
thoạt	 tʰw ʷa6 t
thoả	 tʰw ʷa4
thoải	 tʰw a4 j
thoảng	 tʰw ʷa4 ŋ
thoắt	 tʰw ʷă5 t
thu	 tʰ u1
thua	 tʰ uə1
thun	 tʰ u1 n
thung	 tʰ u1 ŋ͡m
thuyên	 tʰw ʷiə1 n
thuyết	 tʰw ʷiə5 t
thuyền	 tʰw ʷiə2 n
thuê	 tʰw ʷe1
thuần	 tʰw ʷɤ̆2 n
thuẫn	 tʰw ʷɤ̆3 n
thuận	 tʰw ʷɤ̆6 n
thuật	 tʰw ʷɤ̆6 t
thuế	 tʰw ʷe5
thuốc	 tʰ uə5 k
thuồng	 tʰ uə2 ŋ
thuộc	 tʰ uə6 k
thuở	 tʰ uə4
thà	 tʰ a2
thành	 tʰ ɛ2 ɲ
thào	 tʰ a2 w
thác	 tʰ a5 k
thách	 tʰ a5 tʃ
thái	 tʰ a5 j
thám	 tʰ a5 m
thán	 tʰ a5 n
tháng	 tʰ a5 ŋ
thánh	 tʰ ɛ5 ɲ
tháo	 tʰ a5 w
tháp	 tʰ a5 p
thát	 tʰ a5 t
thâm	 tʰ ɤ̆1 m
thân	 tʰ ɤ̆1 n
thâu	 tʰ ɤ̆1 w
thây	 tʰ ɤ̆1 j
thãi	 tʰ a3 j
thèm	 tʰ ɛ2 m
thép	 tʰ ɛ5 p
thét	 tʰ ɛ5 t
thê	 tʰ e1
thêm	 tʰ e1 m
thên	 tʰ e1 n
thênh	 tʰ e1 ɲ
thêu	 tʰ ɛu1
thì	 tʰ i2
thìa	 tʰ iə2
thình	 tʰ i2 ɲ
thí	 tʰ i5
thích	 tʰ i5 tʃ
thím	 tʰ i5 m
thính	 tʰ i5 ɲ
thít	 tʰ i5 t
thò	 tʰ ɔ2
thòi	 tʰ ɔ2 j
thòng	 tʰ ɔ2 ŋ͡m
thóa	 tʰw ʷa5
thóc	 tʰ ɔ5 k͡p
thói	 tʰ ɔ5 j
thóp	 tʰ ɔ5 p
thót	 tʰ ɔ5 t
thô	 tʰ o1
thôi	 tʰ o1 j
thôn	 tʰ o1 n
thông	 tʰ o1 ŋ͡m
thù	 tʰ u2
thùa	 tʰ uə2
thùng	 tʰ u2 ŋ͡m
thú	 tʰ u5
thúc	 tʰ u5 k͡p
thúng	 tʰ u5 ŋ͡m
thúy	 tʰ u5 j
thăm	 tʰ ă1 m
thăng	 tʰ ă1 ŋ
thũng	 tʰ u3 ŋ͡m
thơ	 tʰ ɤ1
thơi	 tʰ ɤ1 j
thơm	 tʰ ɤ1 m
thư	 tʰ ɯ1
thưa	 tʰ ɯə1
thương	 tʰ ɯə1 ŋ
thước	 tʰ ɯə5 k
thường	 tʰ ɯə2 ŋ
thưởng	 tʰ ɯə4 ŋ
thượng	 tʰ ɯə6 ŋ
thượt	 tʰ ɯə6 t
thạch	 tʰ a6 tʃ
thạnh	 tʰ ɛ6 ɲ
thạo	 tʰ a6 w
thạt	 tʰ a6 t
thả	 tʰ a4
thải	 tʰ a4 j
thảm	 tʰ a4 m
thản	 tʰ a4 n
thảnh	 tʰ ɛ4 ɲ
thảo	 tʰ a4 w
thảy	 tʰ ă4 j
thấm	 tʰ ɤ̆5 m
thấp	 tʰ ɤ̆5 p
thất	 tʰ ɤ̆5 t
thấu	 tʰ ɤ̆5 w
thấy	 tʰ ɤ̆5 j
thầm	 tʰ ɤ̆2 m
thần	 tʰ ɤ̆2 n
thầy	 tʰ ɤ̆2 j
thẩm	 tʰ ɤ̆4 m
thẩn	 tʰ ɤ̆4 n
thẫm	 tʰ ɤ̆3 m
thẫn	 tʰ ɤ̆3 n
thậm	 tʰ ɤ̆6 m
thận	 tʰ ɤ̆6 n
thập	 tʰ ɤ̆6 p
thật	 tʰ ɤ̆6 t
thắc	 tʰ ă5 k
thắm	 tʰ ă5 m
thắn	 tʰ ă5 n
thắng	 tʰ ă5 ŋ
thắp	 tʰ ă5 p
thắt	 tʰ ă5 t
thằn	 tʰ ă2 n
thằng	 tʰ ă2 ŋ
thẳm	 tʰ ă4 m
thẳng	 tʰ ă4 ŋ
thặng	 tʰ ă6 ŋ
thẹn	 tʰ ɛ6 n
thẹt	 tʰ ɛ6 t
thẻ	 tʰ ɛ4
thế	 tʰ e5
thếp	 tʰ e5 p
thết	 tʰ e5 t
thề	 tʰ e2
thềm	 tʰ e2 m
thều	 tʰ ɛu2
thể	 tʰ e4
thểu	 tʰ ɛu4
thệ	 tʰ e6
thỉnh	 tʰ i4 ɲ
thỉu	 tʰ i4 w
thị	 tʰ i6
thịnh	 tʰ i6 ɲ
thịt	 tʰ i6 t
thọ	 tʰ ɔ6
thọc	 tʰ ɔ6 k͡p
thỏ	 tʰ ɔ4
thỏa	 tʰw ʷa4
thỏi	 tʰ ɔ4 j
thố	 tʰ o5
thối	 tʰ o5 j
thốn	 tʰ o5 n
thống	 tʰ o5 ŋ͡m
thốt	 tʰ o5 t
thổ	 tʰ o4
thổi	 tʰ o4 j
thổn	 tʰ o4 n
thớt	 tʰ ɤ5 t
thờ	 tʰ ɤ2
thời	 tʰ ɤ2 j
thở	 tʰ ɤ4
thợ	 tʰ ɤ6
thụ	 tʰ u6
thục	 tʰ u6 k͡p
thụt	 tʰ u6 t
thủ	 tʰ u4
thủng	 tʰ u4 ŋ͡m
thủy	 tʰ u4 j
thứ	 tʰ ɯ5
thức	 tʰ ɯ5 k
thừa	 tʰ ɯə2
thừng	 tʰ ɯ2 ŋ
thử	 tʰ ɯ4
thửa	 tʰ ɯə4
thự	 tʰ ɯ6
thực	 tʰ ɯ6 k
ti	 t i1
tia	 t iə1
tim	 t i1 m
tin	 t i1 n
tinh	 t i1 ɲ
tiu	 t i1 w
tiêm	 t iə1 m
tiên	 t iə1 n
tiêu	 t iə1 w
tiếc	 t iə5 k
tiếm	 t iə5 m
tiến	 t iə5 n
tiếng	 t iə5 ŋ
tiếp	 t iə5 p
tiết	 t iə5 t
tiếu	 t iə5 w
tiềm	 t iə2 m
tiền	 t iə2 n
tiều	 t iə2 w
tiểu	 t iə4 w
tiễn	 t iə3 n
tiệc	 t iə6 k
tiện	 t iə6 n
tiệt	 t iə6 t
to	 t ɔ1
toa	 tw ʷa1
toan	 tw ʷa1 n
toang	 tw ʷa1 ŋ
toàn	 tw ʷa2 n
toái	 tw a5 j
toán	 tw ʷa5 n
toát	 tw ʷa5 t
toạc	 tw ʷa6 k
toại	 tw a6 j
tra	 ʈ a1
trai	 ʈ a1 j
trang	 ʈ a1 ŋ
tranh	 ʈ ɛ1 ɲ
trao	 ʈ a1 w
trau	 ʈ ă1 w
treo	 ʈ eo1
tri	 ʈ i1
trinh	 ʈ i1 ɲ
triu	 ʈ i1 w
triết	 ʈ iə5 t
triền	 ʈ iə2 n
triều	 ʈ iə2 w
triển	 ʈ iə4 n
triệt	 ʈ iə6 t
triệu	 ʈ iə6 w
tro	 ʈ ɔ1
trong	 ʈ ɔ1 ŋ͡m
tru	 ʈ u1
trung	 ʈ u1 ŋ͡m
truy	 ʈw ʷi1
truyền	 ʈw ʷiə2 n
truyện	 ʈw ʷiə6 n
truân	 ʈw ʷɤ̆1 n
truất	 ʈw ʷɤ̆5 t
truồng	 ʈ uə2 ŋ
try	 ʈ i1
trà	 ʈ a2
tràn	 ʈ a2 n
tràng	 ʈ a2 ŋ
trào	 ʈ a2 w
trá	 ʈ a5
trác	 ʈ a5 k
trách	 ʈ a5 tʃ
trái	 ʈ a5 j
trám	 ʈ a5 m
trán	 ʈ a5 n
tráng	 ʈ a5 ŋ
tránh	 ʈ ɛ5 ɲ
tráo	 ʈ a5 w
tráp	 ʈ a5 p
trâm	 ʈ ɤ̆1 m
trân	 ʈ ɤ̆1 n
trâu	 ʈ ɤ̆1 w
trèo	 ʈ eo2
tréo	 ʈ eo5
trép	 ʈ ɛ5 p
trét	 ʈ ɛ5 t
trên	 ʈ e1 n
trêu	 ʈ ɛu1
trì	 ʈ i2
trình	 ʈ i2 ɲ
trìu	 ʈ i2 w
trí	 ʈ i5
trích	 ʈ i5 tʃ
trò	 ʈ ɔ2
tròn	 ʈ ɔ2 n
tròng	 ʈ ɔ2 ŋ͡m
tróc	 ʈ ɔ5 k͡p
trói	 ʈ ɔ5 j
trót	 ʈ ɔ5 t
trô	 ʈ o1
trôi	 ʈ o1 j
trôn	 ʈ o1 n
trông	 ʈ o1 ŋ͡m
trù	 ʈ u2
trùm	 ʈ u2 m
trùng	 ʈ u2 ŋ͡m
trú	 ʈ u5
trúc	 ʈ u5 k͡p
trúng	 ʈ u5 ŋ͡m
trút	 ʈ u5 t
trăm	 ʈ ă1 m
trăn	 ʈ ă1 n
trăng	 ʈ ă1 ŋ
trĩ	 ʈ i3
trĩu	 ʈ i3 w
trũng	 ʈ u3 ŋ͡m
trơ	 ʈ ɤ1
trơn	 ʈ ɤ1 n
trưa	 ʈ ɯə1
trưng	 ʈ ɯ1 ŋ
trương	 ʈ ɯə1 ŋ
trước	 ʈ ɯə5 k
trướng	 ʈ ɯə5 ŋ
trườn	 ʈ ɯə2 n
trường	 ʈ ɯə2 ŋ
trưởng	 ʈ ɯə4 ŋ
trượng	 ʈ ɯə6 ŋ
trượt	 ʈ ɯə6 t
trại	 ʈ a6 j
trạm	 ʈ a6 m
trạng	 ʈ a6 ŋ
trả	 ʈ a4
trải	 ʈ a4 j
trảm	 ʈ a4 m
trấn	 ʈ ɤ̆5 n
trấu	 ʈ ɤ̆5 w
trầm	 ʈ ɤ̆2 m
trần	 ʈ ɤ̆2 n
trầy	 ʈ ɤ̆2 j
trẩy	 ʈ ɤ̆4 j
trẫm	 ʈ ɤ̆3 m
trận	 ʈ ɤ̆6 n
trật	 ʈ ɤ̆6 t
trắc	 ʈ ă5 k
trắng	 ʈ ă5 ŋ
trằn	 ʈ ă2 n
trặc	 ʈ ă6 k
trẹo	 ʈ eo6
trẻ	 ʈ ɛ4
trẻo	 ʈ eo4
trẽn	 ʈ ɛ3 n
trề	 ʈ e2
trễ	 ʈ e3
trệ	 ʈ e6
trị	 ʈ i6
trịa	 ʈ iə6
trọ	 ʈ ɔ6
trọc	 ʈ ɔ6 k͡p
trọi	 ʈ ɔ6 j
trọn	 ʈ ɔ6 n
trọng	 ʈ ɔ6 ŋ͡m
trọt	 ʈ ɔ6 t
trố	 ʈ o5
trốc	 ʈ o5 k͡p
trối	 ʈ o5 j
trốn	 ʈ o5 n
trống	 ʈ o5 ŋ͡m
trốt	 ʈ o5 t
trồ	 ʈ o2
trồng	 ʈ o2 ŋ͡m
trổ	 ʈ o4
trổi	 ʈ o4 j
trỗi	 ʈ o3 j
trội	 ʈ o6 j
trộm	 ʈ o6 m
trộn	 ʈ o6 n
trớn	 ʈ ɤ5 n
trời	 ʈ ɤ2 j
trở	 ʈ ɤ4
trợ	 ʈ ɤ6
trợn	 ʈ ɤ6 n
trợt	 ʈ ɤ6 t
trụ	 ʈ u6
trụa	 ʈ uə6
trục	 ʈ u6 k͡p
trụi	 ʈ u6 j
trụy	 ʈ u6 j
trứng	 ʈ ɯ5 ŋ
trừ	 ʈ ɯ2
trừng	 ʈ ɯ2 ŋ
trữ	 ʈ ɯ3
trực	 ʈ ɯ6 k
tu	 t u1
tua	 t uə1
tung	 t u1 ŋ͡m
tuy	 tw ʷi1
tuyên	 tw ʷiə1 n
tuyến	 tw ʷiə5 n
tuyết	 tw ʷiə5 t
tuyền	 tw ʷiə2 n
tuyển	 tw ʷiə4 n
tuyệt	 tw ʷiə6 t
tuân	 tw ʷɤ̆1 n
tuôn	 t uə1 n
tuông	 t uə1 ŋ
tuấn	 tw ʷɤ̆5 n
tuần	 tw ʷɤ̆2 n
tuận	 tw ʷɤ̆6 n
tuế	 tw ʷe5
tuếch	 tw ʷe5 tʃ
tuệ	 tw ʷe6
tuốt	 t uə5 t
tuồng	 t uə2 ŋ
tuổi	 t uə4 j
tuột	 t uə6 t
tuỳ	 t u2 j
ty	 t i1
tà	 t a2
tài	 t a2 j
tàn	 t a2 n
tàng	 t a2 ŋ
tành	 t ɛ2 ɲ
tàu	 t ă2 w
tày	 t ă2 j
tá	 t a5
tác	 t a5 k
tách	 t a5 tʃ
tái	 t a5 j
tám	 t a5 m
tán	 t a5 n
táng	 t a5 ŋ
táo	 t a5 w
táp	 t a5 p
tát	 t a5 t
tâm	 t ɤ̆1 m
tân	 t ɤ̆1 n
tâng	 t ɤ̆1 ŋ
tâu	 t ɤ̆1 w
tây	 t ɤ̆1 j
tã	 t a3
té	 t ɛ5
tê	 t e1
têm	 t e1 m
tên	 t e1 n
tì	 t i2
tìm	 t i2 m
tình	 t i2 ɲ
tí	 t i5
tía	 t iə5
tích	 t i5 tʃ
tím	 t i5 m
tín	 t i5 n
tính	 t i5 ɲ
típ	 t i5 p
tít	 t i5 t
tò	 t ɔ2
tòa	 tw ʷa2
tòi	 t ɔ2 j
tòng	 t ɔ2 ŋ͡m
tóc	 t ɔ5 k͡p
tóe	 tw ʷɛ5
tóm	 t ɔ5 m
tóp	 t ɔ5 p
tót	 t ɔ5 t
tô	 t o1
tôi	 t o1 j
tôn	 t o1 n
tông	 t o1 ŋ͡m
tù	 t u2
tùm	 t u2 m
tùng	 t u2 ŋ͡m
tùy	 t u2 j
tú	 t u5
túc	 t u5 k͡p
túi	 t u5 j
túm	 t u5 m
túng	 t u5 ŋ͡m
túp	 t u5 p
tút	 t u5 t
túy	 t u5 j
tăm	 t ă1 m
tăng	 t ă1 ŋ
tĩnh	 t i3 ɲ
tĩu	 t i3 w
tơ	 t ɤ1
tơi	 t ɤ1 j
tư	 t ɯ1
tưa	 t ɯə1
tưng	 t ɯ1 ŋ
tươi	 t ɯə1 j
tươm	 t ɯə1 m
tương	 t ɯə1 ŋ
tước	 t ɯə5 k
tưới	 t ɯə5 j
tướng	 t ɯə5 ŋ
tường	 t ɯə2 ŋ
tưởi	 t ɯə4 j
tưởng	 t ɯə4 ŋ
tược	 t ɯə6 k
tượng	 t ɯə6 ŋ
tạ	 t a6
tạc	 t a6 k
tại	 t a6 j
tạm	 t a6 m
tạng	 t a6 ŋ
tạnh	 t ɛ6 ɲ
tạo	 t a6 w
tạp	 t a6 p
tạt	 t a6 t
tả	 t a4
tải	 t a4 j
tản	 t a4 n
tảng	 t a4 ŋ
tảo	 t a4 w
tấc	 t ɤ̆5 k
tấm	 t ɤ̆5 m
tấn	 t ɤ̆5 n
tấp	 t ɤ̆5 p
tất	 t ɤ̆5 t
tấu	 t ɤ̆5 w
tầm	 t ɤ̆2 m
tầng	 t ɤ̆2 ŋ
tẩm	 t ɤ̆4 m
tẩu	 t ɤ̆4 w
tẩy	 t ɤ̆4 j
tận	 t ɤ̆6 n
tập	 t ɤ̆6 p
tật	 t ɤ̆6 t
tậu	 t ɤ̆6 w
tắc	 t ă5 k
tắm	 t ă5 m
tắn	 t ă5 n
tắp	 t ă5 p
tắt	 t ă5 t
tằm	 t ă2 m
tặng	 t ă6 ŋ
tẹt	 t ɛ6 t
tẻ	 t ɛ4
tẽ	 t ɛ3
tế	 t e5
tết	 t e5 t
tề	 t e2
tể	 t e4
tệ	 t e6
tỉ	 t i4
tỉa	 t iə4
tỉnh	 t i4 ɲ
tỉu	 t i4 w
tị	 t i6
tịch	 t i6 tʃ
tịnh	 t i6 ɲ
tọa	 tw ʷa6
tỏ	 t ɔ4
tỏa	 tw ʷa4
tỏi	 t ɔ4 j
tố	 t o5
tốc	 t o5 k͡p
tối	 t o5 j
tốn	 t o5 n
tống	 t o5 ŋ͡m
tốt	 t o5 t
tồi	 t o2 j
tồn	 t o2 n
tổ	 t o4
tổn	 t o4 n
tổng	 t o4 ŋ͡m
tộc	 t o6 k͡p
tội	 t o6 j
tột	 t o6 t
tớ	 t ɤ5
tới	 t ɤ5 j
tờ	 t ɤ2
tởm	 t ɤ4 m
tợn	 t ɤ6 n
tụ	 t u6
tục	 t u6 k͡p
tụng	 t u6 ŋ͡m
tụt	 t u6 t
tụy	 t u6 j
tủ	 t u4
tủi	 t u4 j
tủy	 t u4 j
tứ	 t ɯ5
tức	 t ɯ5 k
từ	 t ɯ2
từng	 t ɯ2 ŋ
tử	 t ɯ4
tửu	 t ɯ4 w
tự	 t ɯ6
tựa	 t ɯə6
tựu	 t ɯ6 w
tỳ	 t i2
tỵ	 t i6
tỷ	 t i4
um	 u1 m
un	 u1 n
ung	 u1 ŋ͡m
uy	 w ʷi1
uyên	 w ʷiə1 n
uyển	 w ʷiə4 n
uất	 w ʷɤ̆5 t
uế	 w ʷe5
uốn	 uə5 n
uống	 uə5 ŋ
uổng	 uə4 ŋ
uỷ	 w ʷi4
va	 v a1
vai	 v a1 j
van	 v a1 n
vang	 v a1 ŋ
vanh	 v ɛ1 ɲ
vay	 v ă1 j
ve	 v ɛ1
ven	 v ɛ1 n
vi	 v i1
via	 v iə1
vim	 v i1 m
vinh	 v i1 ɲ
viên	 v iə1 n
viếng	 v iə5 ŋ
viết	 v iə5 t
viền	 v iə2 n
viển	 v iə4 n
viễn	 v iə3 n
việc	 v iə6 k
viện	 v iə6 n
việt	 v iə6 t
vo	 v ɔ1
voan	 vw ʷa1 n
voi	 v ɔ1 j
von	 v ɔ1 n
vong	 v ɔ1 ŋ͡m
vu	 v u1
vua	 v uə1
vui	 v u1 j
vun	 v u1 n
vung	 v u1 ŋ͡m
vuông	 v uə1 ŋ
vuốt	 v uə5 t
và	 v a2
vài	 v a2 j
vàn	 v a2 n
vàng	 v a2 ŋ
vành	 v ɛ2 ɲ
vào	 v a2 w
vá	 v a5
vác	 v a5 k
vách	 v a5 tʃ
vái	 v a5 j
ván	 v a5 n
váng	 v a5 ŋ
váo	 v a5 w
vát	 v a5 t
váy	 v ă5 j
vân	 v ɤ̆1 n
vâng	 v ɤ̆1 ŋ
vây	 v ɤ̆1 j
vã	 v a3
vãi	 v a3 j
vãn	 v a3 n
vãng	 v a3 ŋ
vè	 v ɛ2
vé	 v ɛ5
vén	 v ɛ5 n
vét	 v ɛ5 t
vê	 v e1
vênh	 v e1 ɲ
vì	 v i2
ví	 v i5
vía	 v iə5
vít	 v i5 t
víu	 v i5 w
vò	 v ɔ2
vòm	 v ɔ2 m
vòng	 v ɔ2 ŋ͡m
vó	 v ɔ5
vóc	 v ɔ5 k͡p
vót	 v ɔ5 t
vô	 v o1
vôi	 v o1 j
vông	 v o1 ŋ͡m
võ	 v ɔ3
võng	 v ɔ3 ŋ͡m
vù	 v u2
vùa	 v uə2
vùi	 v u2 j
vùn	 v u2 n
vùng	 v u2 ŋ͡m
vú	 v u5
vút	 v u5 t
văn	 v ă1 n
văng	 v ă1 ŋ
vĩ	 v i3
vĩnh	 v i3 ɲ
vũ	 v u3
vũng	 v u3 ŋ͡m
vơ	 v ɤ1
vơi	 v ɤ1 j
vươn	 v ɯə1 n
vương	 v ɯə1 ŋ
vướng	 v ɯə5 ŋ
vườn	 v ɯə2 n
vượng	 v ɯə6 ŋ
vượt	 v ɯə6 t
vạ	 v a6
vạc	 v a6 k
vạch	 v a6 tʃ
vại	 v a6 j
vạm	 v a6 m
vạn	 v a6 n
vạng	 v a6 ŋ
vạt	 v a6 t
vạy	 v ă6 j
vả	 v a4
vải	 v a4 j
vảng	 v a4 ŋ
vảy	 v ă4 j
vấn	 v ɤ̆5 n
vấp	 v ɤ̆5 p
vất	 v ɤ̆5 t
vấy	 v ɤ̆5 j
vần	 v ɤ̆2 n
vầng	 v ɤ̆2 ŋ
vầy	 v ɤ̆2 j
vẩn	 v ɤ̆4 n
vẩy	 v ɤ̆4 j
vẫn	 v ɤ̆3 n
vẫy	 v ɤ̆3 j
vận	 v ɤ̆6 n
vật	 v ɤ̆6 t
vậy	 v ɤ̆6 j
vắn	 v ă5 n
vắng	 v ă5 ŋ
vắt	 v ă5 t
vằn	 v ă2 n
vẳng	 v ă4 ŋ
vặn	 v ă6 n
vặt	 v ă6 t
vẹn	 v ɛ6 n
vẹo	 v eo6
vẹt	 v ɛ6 t
vẻ	 v ɛ4
vẽ	 v ɛ3
vết	 v e5 t
về	 v e2
vệ	 v e6
vện	 v e6 n
vệt	 v e6 t
vỉ	 v i4
vị	 v i6
vịn	 v i6 n
vịnh	 v i6 ɲ
vịt	 v i6 t
vọ	 v ɔ6
vọng	 v ɔ6 ŋ͡m
vọt	 v ɔ6 t
vỏ	 v ɔ4
vỏn	 v ɔ4 n
vốc	 v o5 k͡p
vốn	 v o5 n
vốt	 v o5 t
vồ	 v o2
vồng	 v o2 ŋ͡m
vỗ	 v o3
vội	 v o6 j
vớ	 v ɤ5
với	 v ɤ5 j
vớt	 v ɤ5 t
vờ	 v ɤ2
vời	 v ɤ2 j
vở	 v ɤ4
vỡ	 v ɤ3
vợ	 v ɤ6
vợi	 v ɤ6 j
vụ	 v u6
vụn	 v u6 n
vụng	 v u6 ŋ͡m
vụt	 v u6 t
vức	 v ɯ5 k
vứt	 v ɯ5 t
vừa	 v ɯə2
vững	 v ɯ3 ŋ
vựa	 v ɯə6
vực	 v ɯ6 k
xa	 s a1
xai	 s a1 j
xam	 s a1 m
xan	 s a1 n
xang	 s a1 ŋ
xanh	 s ɛ1 ɲ
xao	 s a1 w
xay	 s ă1 j
xe	 s ɛ1
xem	 s ɛ1 m
xen	 s ɛ1 n
xi	 s i1
xia	 s iə1
xim	 s i1 m
xin	 s i1 n
xinh	 s i1 ɲ
xiên	 s iə1 n
xiêu	 s iə1 w
xiếc	 s iə5 k
xiết	 s iə5 t
xiềng	 s iə2 ŋ
xiểm	 s iə4 m
xoa	 sw ʷa1
xoay	 sw ă1 j
xong	 s ɔ1 ŋ͡m
xoá	 sw ʷa5
xoáy	 sw ă5 j
xoè	 sw ʷɛ2
xoắn	 sw ʷă5 n
xu	 s u1
xua	 s uə1
xui	 s u1 j
xung	 s u1 ŋ͡m
xuyên	 sw ʷiə1 n
xuyến	 sw ʷiə5 n
xuân	 sw ʷɤ̆1 n
xuôi	 s uə1 j
xuất	 sw ʷɤ̆5 t
xuẩn	 sw ʷɤ̆4 n
xuể	 sw ʷe4
xuống	 s uə5 ŋ
xuồng	 s uə2 ŋ
xuổng	 s uə4 ŋ
xuội	 s uə6 j
xà	 s a2
xài	 s a2 j
xàm	 s a2 m
xào	 s a2 w
xá	 s a5
xác	 s a5 k
xách	 s a5 tʃ
xám	 s a5 m
xáo	 s a5 w
xáp	 s a5 p
xát	 s a5 t
xâm	 s ɤ̆1 m
xâu	 s ɤ̆1 w
xây	 s ɤ̆1 j
xã	 s a3
xé	 s ɛ5
xéc	 s ɛ5 k
xén	 s ɛ5 n
xéo	 s eo5
xép	 s ɛ5 p
xét	 s ɛ5 t
xê	 s e1
xên	 s e1 n
xì	 s i2
xí	 s i5
xích	 s i5 tʃ
xíp	 s i5 p
xít	 s i5 t
xòe	 sw ʷɛ2
xó	 s ɔ5
xóa	 sw ʷa5
xóc	 s ɔ5 k͡p
xóm	 s ɔ5 m
xót	 s ɔ5 t
xô	 s o1
xôi	 s o1 j
xôn	 s o1 n
xông	 s o1 ŋ͡m
xõa	 sw ʷa3
xúc	 s u5 k͡p
xúi	 s u5 j
xúm	 s u5 m
xúp	 s u5 p
xăm	 s ă1 m
xăng	 s ă1 ŋ
xơ	 s ɤ1
xưa	 s ɯə1
xưng	 s ɯ1 ŋ
xương	 s ɯə1 ŋ
xướng	 s ɯə5 ŋ
xược	 s ɯə6 k
xạ	 s a6
xạc	 s a6 k
xạt	 s a6 t
xả	 s a4
xảo	 s a4 w
xảy	 s ă4 j
xấc	 s ɤ̆5 k
xấp	 s ɤ̆5 p
xấu	 s ɤ̆5 w
xầm	 s ɤ̆2 m
xẩm	 s ɤ̆4 m
xắt	 s ă5 t
xằng	 s ă2 ŋ
xẳng	 s ă4 ŋ
xẵng	 s ă3 ŋ
xẹo	 s eo6
xẻ	 s ɛ4
xẻng	 s ɛ4 ŋ
xế	 s e5
xếp	 s e5 p
xết	 s e5 t
xỉ	 s i4
xỉa	 s iə4
xỉn	 s i4 n
xỉu	 s i4 w
xỏ	 s ɔ4
xốc	 s o5 k͡p
xốn	 s o5 n
xống	 s o5 ŋ͡m
xốp	 s o5 p
xốt	 s o5 t
xổ	 s o4
xộn	 s o6 n
xới	 s ɤ5 j
xớm	 s ɤ5 m
xở	 s ɤ4
xụi	 s u6 j
xứ	 s ɯ5
xức	 s ɯ5 k
xứng	 s ɯ5 ŋ
xử	 s ɯ4
yên	 iɛ1 n
yêu	 iə1 w
yếm	 iɛ5 m
yến	 iɛ5 n
yết	 iɛ5 t
yếu	 iə5 w
yểm	 iɛ4 m
yểu	 iə4 w
ào	 a2 w
ác	 a5 k
ách	 a5 tʃ
ái	 a5 j
ám	 a5 m
án	 a5 n
áng	 a5 ŋ
ánh	 ɛ5 ɲ
áo	 a5 w
áp	 a5 p
át	 a5 t
âm	 ɤ̆1 m
ân	 ɤ̆1 n
âu	 ɤ̆1 w
éc	 ɛ5 k
én	 ɛ5 n
ép	 ɛ5 p
ét	 ɛ5 t
êm	 e1 m
ên	 e1 n
êp	 e1 p
ích	 i5 tʃ
íp	 i5 p
ít	 i5 t
òa	 w ʷa2
óc	 ɔ5 k͡p
ói	 ɔ5 j
óng	 ɔ5 ŋ͡m
óp	 ɔ5 p
ôi	 o1 j
ôm	 o1 m
ôn	 o1 n
ông	 o1 ŋ͡m
õng	 ɔ3 ŋ͡m
ùm	 u2 m
ùn	 u2 n
úc	 u5 k͡p
úng	 u5 ŋ͡m
úp	 u5 p
út	 u5 t
ăn	 ă1 n
đa	 d a1
đai	 d a1 j
đam	 d a1 m
đan	 d a1 n
đang	 d a1 ŋ
đanh	 d ɛ1 ɲ
đao	 d a1 w
đau	 d ă1 w
đay	 d ă1 j
đe	 d ɛ1
đem	 d ɛ1 m
đen	 d ɛ1 n
đeo	 d eo1
đi	 d i1
đia	 d iə1
đim	 z i1 m
đin	 d i1 n
đinh	 d i1 ɲ
điêm	 d iə1 m
điên	 d iə1 n
điêu	 d iə1 w
điếc	 d iə5 k
điếm	 d iə5 m
điếng	 d iə5 ŋ
điết	 d iə5 t
điếu	 d iə5 w
điềm	 d iə2 m
điền	 d iə2 n
điều	 d iə2 w
điểm	 d iə4 m
điển	 d iə4 n
điểu	 d iə4 w
điện	 d iə6 n
điệp	 d iə6 p
điệu	 d iə6 w
đo	 d ɔ1
đoan	 dw ʷa1 n
đon	 d ɔ1 n
đong	 d ɔ1 ŋ͡m
đoàn	 dw ʷa2 n
đoá	 dw ʷa5
đoái	 dw a5 j
đoán	 dw ʷa5 n
đoạn	 dw ʷa6 n
đoạt	 dw ʷa6 t
đu	 d u1
đua	 d uə1
đui	 d u1 j
đun	 d u1 n
đuôi	 d uə1 j
đuốc	 d uə5 k
đuối	 d uə5 j
đuổi	 d uə4 j
đà	 d a2
đài	 d a2 j
đàm	 d a2 m
đàn	 d a2 n
đàng	 d a2 ŋ
đành	 d ɛ2 ɲ
đào	 d a2 w
đày	 d ă2 j
đá	 d a5
đác	 d a5 k
đám	 d a5 m
đáng	 d a5 ŋ
đánh	 d ɛ5 ɲ
đáo	 d a5 w
đáp	 d a5 p
đát	 d a5 t
đáy	 d ă5 j
đâm	 d ɤ̆1 m
đâu	 d ɤ̆1 w
đây	 d ɤ̆1 j
đã	 d a3
đãi	 d a3 j
đãng	 d a3 ŋ
đè	 d ɛ2
đèn	 d ɛ2 n
đèo	 d eo2
đéc	 d ɛ5 k
đét	 d ɛ5 t
đê	 d e1
đêm	 d e1 m
đên	 d e1 n
đênh	 d e1 ɲ
đêu	 d ɛu1
đìa	 d iə2
đình	 d i2 ɲ
đích	 d i5 tʃ
đính	 d i5 ɲ
đíp	 d i5 p
đít	 d i5 t
đòi	 d ɔ2 j
đòn	 d ɔ2 n
đòng	 d ɔ2 ŋ͡m
đó	 d ɔ5
