a	a1
ông	o1 ŋ͡m
ồng	o2 ŋ͡m
ổng	o4 ŋ͡m
ống	o5 ŋ͡m
ốp	o5 p
ộp	o6 p
ốt	o5 t
ơ	ɤ1
ờ	ɤ2
ở	ɤ4
ợ	ɤ6
ơi	ɤ1 j
ới	ɤ5 j
ỡm	ɤ3 m
ơn	ɤ1 n
ớn	ɤ5 n
ớt	ɤ5 t
pha	f a1
phà	f a2
phả	f a4
phá	f a5
phác	f a5 k
phạc	f a6 k
phách	f a5 tʃ
phai	f a1 j
phải	f a4 j
phái	f a5 j
phàm	f a2 m
phạm	f a6 m
phan	f a1 n
phàn	f a2 n
phản	f a4 n
phán	f a5 n
phang	f a1 ŋ
phàng	f a2 ŋ
phảng	f a4 ŋ
phạng	f a6 ŋ
phanh	f ɛ1 ɲ
phao	f a1 w
phào	f a2 w
pháo	f a5 w
pháp	f a5 p
phát	f a5 t
phạt	f a6 t
phay	f ă1 j
phảy	f ă4 j
phắc	f ă5 k
phăng	f ă1 ŋ
phẳng	f ă4 ŋ
phầm	f ɤ̆2 m
phẩm	f ɤ̆4 m
phân	f ɤ̆1 n
phần	f ɤ̆2 n
phẫn	f ɤ̆3 n
phấn	f ɤ̆5 n
phận	f ɤ̆6 n
phập	f ɤ̆6 p
phất	f ɤ̆5 t
phật	f ɤ̆6 t
phẫu	f ɤ̆3 w
phây	f ɤ̆1 j
phẩy	f ɤ̆4 j
phe	f ɛ1
phè	f ɛ2
phen	f ɛ1 n
phèn	f ɛ2 n
phèng	f ɛ2 ŋ
phéng	f ɛ5 ŋ
phèo	f eo2
phép	f ɛ5 p
phét	f ɛ5 t
phê	f e1
phề	f e2
phế	f e5
phệ	f e6
phếch	f e5 tʃ
phềnh	f e2 ɲ
phệnh	f e6 ɲ
phết	f e5 t
phều	f ɛu2
phễu	f ɛu3
phi	f i1
phì	f i2
phỉ	f i4
phí	f i5
phía	f iə5
phích	f i5 tʃ
phịch	f i6 tʃ
phiếm	f iə5 m
phiên	f iə1 n
phiền	f iə2 n
phiến	f iə5 n
phiện	f iə6 n
phiết	f iə5 t
phiêu	f iə1 w
phiếu	f iə5 w
phim	f i1 m
phím	f i5 m
phin	f i1 n
phình	f i2 ɲ
phỉnh	f i4 ɲ
phĩnh	f i3 ɲ
phính	f i5 ɲ
pho	f ɔ1
phò	f ɔ2
phó	f ɔ5
phóc	f ɔ5 k͡p
phòi	f ɔ2 j
phom	f ɔ1 m
phong	f ɔ1 ŋ͡m
phòng	f ɔ2 ŋ͡m
phỏng	f ɔ4 ŋ͡m
phóng	f ɔ5 ŋ͡m
phót	f ɔ5 t
phọt	f ɔ6 t
phô	f o1
phổ	f o4
phố	f o5
phốc	f o5 k͡p
phôi	f o1 j
phổi	f o4 j
phối	f o5 j
phồm	f o2 m
phồn	f o2 n
phông	f o1 ŋ͡m
phồng	f o2 ŋ͡m
phổng	f o4 ŋ͡m
phỗng	f o3 ŋ͡m
phộng	f o6 ŋ͡m
phốt	f o5 t
phơ	f ɤ1
phờ	f ɤ2
phở	f ɤ4
phớ	f ɤ5
phơi	f ɤ1 j
phới	f ɤ5 j
phơn	f ɤ1 n
phỡn	f ɤ3 n
phớt	f ɤ5 t
phu	f u1
phù	f u2
phủ	f u4
phũ	f u3
phú	f u5
phụ	f u6
phúc	f u5 k͡p
phục	f u6 k͡p
phui	f u1 j
phủi	f u4 j
phun	f u1 n
phung	f u1 ŋ͡m
phùng	f u2 ŋ͡m
phúng	f u5 ŋ͡m
phụng	f u6 ŋ͡m
phút	f u5 t
phuy	fw ʷi1
phức	f ɯ5 k
phừng	f ɯ2 ŋ
phước	f ɯə5 k
phướn	f ɯə5 n
phương	f ɯə1 ŋ
phường	f ɯə2 ŋ
phượng	f ɯə6 ŋ
pí	p i5
piêu	p iə1 w
qua	kw a1
quà	kw a2
quả	kw a4
quá	kw a5
quạ	kw a6
quác	kw a5 k
quạc	kw a6 k
quách	kw a5 tʃ
quạch	kw a6 tʃ
quai	kw a1 j
quài	kw a2 j
quải	kw a4 j
quái	kw a5 j
quại	kw a6 j
quan	kw a1 n
quản	kw a4 n
quán	kw a5 n
quang	kw a1 ŋ
quàng	kw a2 ŋ
quảng	kw a4 ŋ
quãng	kw a3 ŋ
quáng	kw a5 ŋ
quạng	kw a6 ŋ
quanh	kw ɛ1 ɲ
quánh	kw ɛ5 ɲ
quạnh	kw ɛ6 ɲ
quáo	kw a5 w
quát	kw a5 t
quạt	kw a6 t
quay	kw ă1 j
quày	kw ă2 j
quảy	kw ă4 j
quắc	kw ă5 k
quặc	kw ă6 k
quăm	kw ă1 m
quắm	kw ă5 m
quặm	kw ă6 m
quằn	kw ă2 n
quắn	kw ă5 n
quặn	kw ă6 n
quăng	kw ă1 ŋ
quẳng	kw ă4 ŋ
quặng	kw ă6 ŋ
quắp	kw ă5 p
quắt	kw ă5 t
quặt	kw ă6 t
quân	kw ɤ̆1 n
quần	kw ɤ̆2 n
quẩn	kw ɤ̆4 n
quẫn	kw ɤ̆3 n
quấn	kw ɤ̆5 n
quận	kw ɤ̆6 n
quầng	kw ɤ̆2 ŋ
quất	kw ɤ̆5 t
quật	kw ɤ̆6 t
quây	kw ɤ̆1 j
quầy	kw ɤ̆2 j
quẫy	kw ɤ̆3 j
quấy	kw ɤ̆5 j
quậy	kw ɤ̆6 j
que	kw ɛ1
què	kw ɛ2
quen	kw ɛ1 n
quèn	kw ɛ2 n
queo	kw eo1
quẹo	kw eo6
quét	kw ɛ5 t
quẹt	kw ɛ6 t
quê	kw e1
quế	kw e5
quệ	kw e6
quên	kw e1 n
quện	kw e6 n
quệnh	kw e6 ɲ
quết	kw e5 t
quệt	kw e6 t
qui	kw i1
quì	kw i2
quỉ	kw i4
quĩ	kw i3
quí	kw i5
quị	kw i6
quít	kw i5 t
quoạng	kw ʷa6 ŋ
quốc	kw o5 k͡p
quơ	kw ɤ1
quờ	kw ɤ2
quở	kw ɤ4
quới	kw ɤ5 j
quờn	kw ɤ2 n
quớt	kw ɤ5 t
quy	kw i1
quỳ	kw i2
quỷ	kw i4
quỹ	kw i3
quý	kw i5
quỵ	kw i6
quyên	kw iɛ1 n
quyền	kw iɛ2 n
quyển	kw iɛ4 n
quyến	kw iɛ5 n
quyện	kw iɛ6 n
quyết	kw iɛ5 t
quyệt	kw iɛ6 t
quỳnh	kw i2 ɲ
quýnh	kw i5 ɲ
quýt	kw i5 t
quỵt	kw i6 t
ra	ʐ a1
rà	ʐ a2
rả	ʐ a4
rã	ʐ a3
rạ	ʐ a6
rác	ʐ a5 k
rạc	ʐ a6 k
rách	ʐ a5 tʃ
rạch	ʐ a6 tʃ
rai	ʐ a1 j
rải	ʐ a4 j
rãi	ʐ a3 j
rái	ʐ a5 j
ram	ʐ a1 m
ràm	ʐ a2 m
rám	ʐ a5 m
ran	ʐ a1 n
rán	ʐ a5 n
rạn	ʐ a6 n
rang	ʐ a1 ŋ
ràng	ʐ a2 ŋ
ráng	ʐ a5 ŋ
rạng	ʐ a6 ŋ
ranh	ʐ ɛ1 ɲ
rành	ʐ ɛ2 ɲ
rảnh	ʐ ɛ4 ɲ
rãnh	ʐ ɛ3 ɲ
rao	ʐ a1 w
rào	ʐ a2 w
rảo	ʐ a4 w
ráo	ʐ a5 w
rạo	ʐ a6 w
ráp	ʐ a5 p
rạp	ʐ a6 p
rát	ʐ a5 t
rạt	ʐ a6 t
rau	ʐ ă1 w
ray	ʐ ă1 j
rày	ʐ ă2 j
rảy	ʐ ă4 j
rãy	ʐ ă3 j
ráy	ʐ ă5 j
rạy	ʐ ă6 j
rắc	ʐ ă5 k
răm	ʐ ă1 m
rằm	ʐ ă2 m
rắm	ʐ ă5 m
răn	ʐ ă1 n
rằn	ʐ ă2 n
rắn	ʐ ă5 n
rặn	ʐ ă6 n
răng	ʐ ă1 ŋ
rằng	ʐ ă2 ŋ
rặng	ʐ ă6 ŋ
rắp	ʐ ă5 p
rắt	ʐ ă5 t
râm	ʐ ɤ̆1 m
rầm	ʐ ɤ̆2 m
rấm	ʐ ɤ̆5 m
rậm	ʐ ɤ̆6 m
rân	ʐ ɤ̆1 n
rần	ʐ ɤ̆2 n
rấn	ʐ ɤ̆5 n
rận	ʐ ɤ̆6 n
rấp	ʐ ɤ̆5 p
rập	ʐ ɤ̆6 p
rất	ʐ ɤ̆5 t
rật	ʐ ɤ̆6 t
râu	ʐ ɤ̆1 w
rầu	ʐ ɤ̆2 w
rây	ʐ ɤ̆1 j
rầy	ʐ ɤ̆2 j
rẩy	ʐ ɤ̆4 j
rẫy	ʐ ɤ̆3 j
rấy	ʐ ɤ̆5 j
re	ʐ ɛ1
rè	ʐ ɛ2
rẻ	ʐ ɛ4
rẽ	ʐ ɛ3
rèm	ʐ ɛ2 m
ren	ʐ ɛ1 n
rèn	ʐ ɛ2 n
rén	ʐ ɛ5 n
reng	ʐ ɛ1 ŋ
rẻng	ʐ ɛ4 ŋ
rẽng	ʐ ɛ3 ŋ
reo	ʐ eo1
rèo	ʐ eo2
réo	ʐ eo5
rẹo	ʐ eo6
rét	ʐ ɛ5 t
rẹt	ʐ ɛ6 t
rê	ʐ e1
rề	ʐ e2
rể	ʐ e4
rễ	ʐ e3
rế	ʐ e5
rên	ʐ e1 n
rền	ʐ e2 n
rến	ʐ e5 n
rết	ʐ e5 t
rệt	ʐ e6 t
rêu	ʐ ɛu1
rệu	ʐ ɛu6
ri	ʐ i1
rì	ʐ i2
rỉ	ʐ i4
rĩ	ʐ i3
ria	ʐ iə1
rìa	ʐ iə2
rỉa	ʐ iə4
rịa	ʐ iə6
rích	ʐ i5 tʃ
rịch	ʐ i6 tʃ
riêng	ʐ iə1 ŋ
riềng	ʐ iə2 ŋ
riếp	ʐ iə5 p
riết	ʐ iə5 t
riệt	ʐ iə6 t
riêu	ʐ iə1 w
rim	ʐ i1 m
rịn	ʐ i6 n
rinh	ʐ i1 ɲ
rình	ʐ i2 ɲ
rỉnh	ʐ i4 ɲ
rít	ʐ i5 t
rịt	ʐ i6 t
riu	ʐ i1 w
rìu	ʐ i2 w
ríu	ʐ i5 w
ro	ʐ ɔ1
rò	ʐ ɔ2
rõ	ʐ ɔ3
ró	ʐ ɔ5
rọ	ʐ ɔ6
róc	ʐ ɔ5 k͡p
rọc	ʐ ɔ6 k͡p
roi	ʐ ɔ1 j
ròi	ʐ ɔ2 j
rỏi	ʐ ɔ4 j
rói	ʐ ɔ5 j
rọi	ʐ ɔ6 j
ròm	ʐ ɔ2 m
róm	ʐ ɔ5 m
rón	ʐ ɔ5 n
rong	ʐ ɔ1 ŋ͡m
ròng	ʐ ɔ2 ŋ͡m
rót	ʐ ɔ5 t
rọt	ʐ ɔ6 t
rô	ʐ o1
rồ	ʐ o2
rổ	ʐ o4
rỗ	ʐ o3
rộ	ʐ o6
rốc	ʐ o5 k͡p
rộc	ʐ o6 k͡p
rồi	ʐ o2 j
rỗi	ʐ o3 j
rối	ʐ o5 j
rôm	ʐ o1 m
rôn	ʐ o1 n
rốn	ʐ o5 n
rộn	ʐ o6 n
rông	ʐ o1 ŋ͡m
rồng	ʐ o2 ŋ͡m
rỗng	ʐ o3 ŋ͡m
rống	ʐ o5 ŋ͡m
rộng	ʐ o6 ŋ͡m
rốp	ʐ o5 p
rộp	ʐ o6 p
rốt	ʐ o5 t
rơ	ʐ ɤ1
rờ	ʐ ɤ2
rỡ	ʐ ɤ3
rợ	ʐ ɤ6
rơi	ʐ ɤ1 j
rời	ʐ ɤ2 j
rợi	ʐ ɤ6 j
rơm	ʐ ɤ1 m
rờm	ʐ ɤ2 m
rởm	ʐ ɤ4 m
rớm	ʐ ɤ5 m
rơn	ʐ ɤ1 n
rờn	ʐ ɤ2 n
rỡn	ʐ ɤ3 n
rợn	ʐ ɤ6 n
rợp	ʐ ɤ6 p
rớt	ʐ ɤ5 t
ru	ʐ u1
rủ	ʐ u4
rũ	ʐ u3
rú	ʐ u5
rua	ʐ uə1
rùa	ʐ uə2
rủa	ʐ uə4
rúc	ʐ u5 k͡p
rục	ʐ u6 k͡p
rui	ʐ u1 j
rủi	ʐ u4 j
rụi	ʐ u6 j
rùm	ʐ u2 m
rúm	ʐ u5 m
run	ʐ u1 n
rủn	ʐ u4 n
rung	ʐ u1 ŋ͡m
rùng	ʐ u2 ŋ͡m
rủng	ʐ u4 ŋ͡m
rúng	ʐ u5 ŋ͡m
rụng	ʐ u6 ŋ͡m
ruốc	ʐ uə5 k
ruồi	ʐ uə2 j
ruổi	ʐ uə4 j
ruồng	ʐ uə2 ŋ
ruỗng	ʐ uə3 ŋ
ruộng	ʐ uə6 ŋ
ruột	ʐ uə6 t
rút	ʐ u5 t
rụt	ʐ u6 t
ruy	ʐw ʷi1
rửa	ʐ ɯə4
rữa	ʐ ɯə3
rứa	ʐ ɯə5
rựa	ʐ ɯə6
rức	ʐ ɯ5 k
rực	ʐ ɯ6 k
rưng	ʐ ɯ1 ŋ
rừng	ʐ ɯ2 ŋ
rước	ʐ ɯə5 k
rươi	ʐ ɯə1 j
rười	ʐ ɯə2 j
rưởi	ʐ ɯə4 j
rưỡi	ʐ ɯə3 j
rưới	ʐ ɯə5 j
rượi	ʐ ɯə6 j
rườm	ʐ ɯə2 m
rướm	ʐ ɯə5 m
rượt	ʐ ɯə6 t
rượu	ʐ ɯə6 w
rứt	ʐ ɯ5 t
sa	ʂ a1
sà	ʂ a2
sả	ʂ a4
sá	ʂ a5
sác	ʂ a5 k
sạc	ʂ a6 k
sách	ʂ a5 tʃ
sạch	ʂ a6 tʃ
sai	ʂ a1 j
sài	ʂ a2 j
sải	ʂ a4 j
sãi	ʂ a3 j
sái	ʂ a5 j
sam	ʂ a1 m
sàm	ʂ a2 m
sám	ʂ a5 m
sạm	ʂ a6 m
san	ʂ a1 n
sàn	ʂ a2 n
sản	ʂ a4 n
sán	ʂ a5 n
sạn	ʂ a6 n
sang	ʂ a1 ŋ
sàng	ʂ a2 ŋ
sảng	ʂ a4 ŋ
sáng	ʂ a5 ŋ
sanh	ʂ ɛ1 ɲ
sành	ʂ ɛ2 ɲ
sảnh	ʂ ɛ4 ɲ
sánh	ʂ ɛ5 ɲ
sao	ʂ a1 w
sào	ʂ a2 w
sảo	ʂ a4 w
sáo	ʂ a5 w
sạo	ʂ a6 w
sáp	ʂ a5 p
sạp	ʂ a6 p
sát	ʂ a5 t
sạt	ʂ a6 t
sau	ʂ ă1 w
sáu	ʂ ă5 w
say	ʂ ă1 j
sảy	ʂ ă4 j
sắc	ʂ ă5 k
sặc	ʂ ă6 k
săm	ʂ ă1 m
sắm	ʂ ă5 m
săn	ʂ ă1 n
sẵn	ʂ ă3 n
sắn	ʂ ă5 n
sắng	ʂ ă5 ŋ
sắp	ʂ ă5 p
sắt	ʂ ă5 t
sâm	ʂ ɤ̆1 m
sầm	ʂ ɤ̆2 m
sẫm	ʂ ɤ̆3 m
sấm	ʂ ɤ̆5 m
sậm	ʂ ɤ̆6 m
sân	ʂ ɤ̆1 n
sần	ʂ ɤ̆2 n
sẩn	ʂ ɤ̆4 n
sấp	ʂ ɤ̆5 p
sập	ʂ ɤ̆6 p
sâu	ʂ ɤ̆1 w
sầu	ʂ ɤ̆2 w
sấu	ʂ ɤ̆5 w
sậu	ʂ ɤ̆6 w
sẩy	ʂ ɤ̆4 j
sấy	ʂ ɤ̆5 j
sậy	ʂ ɤ̆6 j
se	ʂ ɛ1
sẻ	ʂ ɛ4
sẽ	ʂ ɛ3
séc	ʂ ɛ5 k
sem	ʂ ɛ1 m
sẹm	ʂ ɛ6 m
sen	ʂ ɛ1 n
sẻn	ʂ ɛ4 n
sèo	ʂ eo2
sẹo	ʂ eo6
sét	ʂ ɛ5 t
sê	ʂ e1
sề	ʂ e2
sể	ʂ e4
sễ	ʂ e3
sệ	ʂ e6
sên	ʂ e1 n
sền	ʂ e2 n
sến	ʂ e5 n
sênh	ʂ e1 ɲ
sểnh	ʂ e4 ɲ
sếp	ʂ e5 p
sệt	ʂ e6 t
sêu	ʂ ɛu1
sếu	ʂ ɛu5
si	ʂ i1
sì	ʂ i2
sỉ	ʂ i4
sĩ	ʂ i3
siêng	ʂ iə1 ŋ
siết	ʂ iə5 t
siêu	ʂ iə1 w
sim	ʂ i1 m
sinh	ʂ i1 ɲ
sính	ʂ i5 ɲ
sịt	ʂ i6 t
so	ʂ ɔ1
sò	ʂ ɔ2
sỏ	ʂ ɔ4
sọ	ʂ ɔ6
soái	ʂw a5 j
soạn	ʂw ʷa6 n
soạng	ʂw ʷa6 ŋ
soát	ʂw ʷa5 t
soạt	ʂw ʷa6 t
sóc	ʂ ɔ5 k͡p
sọc	ʂ ɔ6 k͡p
soi	ʂ ɔ1 j
sỏi	ʂ ɔ4 j
sõi	ʂ ɔ3 j
sói	ʂ ɔ5 j
sọm	ʂ ɔ6 m
son	ʂ ɔ1 n
són	ʂ ɔ5 n
song	ʂ ɔ1 ŋ͡m
sòng	ʂ ɔ2 ŋ͡m
sóng	ʂ ɔ5 ŋ͡m
sót	ʂ ɔ5 t
sọt	ʂ ɔ6 t
sô	ʂ o1
sồ	ʂ o2
sổ	ʂ o4
sỗ	ʂ o3
số	ʂ o5
sộ	ʂ o6
sốc	ʂ o5 k͡p
sôi	ʂ o1 j
sồi	ʂ o2 j
sồn	ʂ o2 n
sông	ʂ o1 ŋ͡m
sống	ʂ o5 ŋ͡m
sốt	ʂ o5 t
sột	ʂ o6 t
sơ	ʂ ɤ1
sờ	ʂ ɤ2
sở	ʂ ɤ4
sỡ	ʂ ɤ3
sớ	ʂ ɤ5
sợ	ʂ ɤ6
sởi	ʂ ɤ4 j
sới	ʂ ɤ5 j
sợi	ʂ ɤ6 j
sơm	ʂ ɤ1 m
sờm	ʂ ɤ2 m
sớm	ʂ ɤ5 m
sơn	ʂ ɤ1 n
sờn	ʂ ɤ2 n
sởn	ʂ ɤ4 n
sớn	ʂ ɤ5 n
sớt	ʂ ɤ5 t
su	ʂ u1
sú	ʂ u5
sụ	ʂ u6
sủa	ʂ uə4
sụa	ʂ uə6
suất	ʂw ʷɤ̆5 t
súc	ʂ u5 k͡p
sục	ʂ u6 k͡p
suê	ʂw ʷe1
sùi	ʂ u2 j
sủi	ʂ u4 j
sum	ʂ u1 m
sùm	ʂ u2 m
sún	ʂ u5 n
sụn	ʂ u6 n
sung	ʂ u1 ŋ͡m
sùng	ʂ u2 ŋ͡m
sủng	ʂ u4 ŋ͡m
sũng	ʂ u3 ŋ͡m
súng	ʂ u5 ŋ͡m
suối	ʂ uə5 j
suôn	ʂ uə1 n
suông	ʂ uə1 ŋ
suốt	ʂ uə5 t
súp	ʂ u5 p
sụp	ʂ u6 p
sút	ʂ u5 t
sụt	ʂ u6 t
suy	ʂw ʷi1
súy	ʂ u5 j
suyển	ʂw ʷiə4 n
suyễn	ʂw ʷiə3 n
suýt	ʂw ʷi5 t
sư	ʂ ɯ1
sử	ʂ ɯ4
sứ	ʂ ɯ5
sự	ʂ ɯ6
sưa	ʂ ɯə1
sửa	ʂ ɯə4
sữa	ʂ ɯə3
sứa	ʂ ɯə5
sức	ʂ ɯ5 k
sực	ʂ ɯ6 k
sưng	ʂ ɯ1 ŋ
sừng	ʂ ɯ2 ŋ
sửng	ʂ ɯ4 ŋ
sững	ʂ ɯ3 ŋ
sưởi	ʂ ɯə4 j
sườn	ʂ ɯə2 n
sương	ʂ ɯə1 ŋ
sướng	ʂ ɯə5 ŋ
sượng	ʂ ɯə6 ŋ
sướt	ʂ ɯə5 t
sượt	ʂ ɯə6 t
sứt	ʂ ɯ5 t
sưu	ʂ ɯ1 w
sửu	ʂ ɯ4 w
sỹ	ʂ i3
ta	t a1
tà	t a2
tả	t a4
tã	t a3
tá	t a5
tạ	t a6
tác	t a5 k
tạc	t a6 k
tách	t a5 tʃ
tạch	t a6 tʃ
tai	t a1 j
tài	t a2 j
tải	t a4 j
tãi	t a3 j
tái	t a5 j
tại	t a6 j
tam	t a1 m
tám	t a5 m
tạm	t a6 m
tan	t a1 n
tàn	t a2 n
tản	t a4 n
tán	t a5 n
tang	t a1 ŋ
tàng	t a2 ŋ
tảng	t a4 ŋ
táng	t a5 ŋ
tạng	t a6 ŋ
tanh	t ɛ1 ɲ
tành	t ɛ2 ɲ
tánh	t ɛ5 ɲ
tao	t a1 w
tào	t a2 w
tảo	t a4 w
táo	t a5 w
tạo	t a6 w
táp	t a5 p
tạp	t a6 p
tát	t a5 t
tạt	t a6 t
tàu	t ă2 w
tay	t ă1 j
tày	t ă2 j
táy	t ă5 j
tắc	t ă5 k
tặc	t ă6 k
tăm	t ă1 m
tằm	t ă2 m
tắm	t ă5 m
tăn	t ă1 n
tằn	t ă2 n
tẳn	t ă4 n
tắn	t ă5 n
tặn	t ă6 n
tăng	t ă1 ŋ
tặng	t ă6 ŋ
tắp	t ă5 p
tắt	t ă5 t
tấc	t ɤ̆5 k
tâm	t ɤ̆1 m
tầm	t ɤ̆2 m
tẩm	t ɤ̆4 m
tấm	t ɤ̆5 m
tân	t ɤ̆1 n
tần	t ɤ̆2 n
tẩn	t ɤ̆4 n
tấn	t ɤ̆5 n
tận	t ɤ̆6 n
tâng	t ɤ̆1 ŋ
tầng	t ɤ̆2 ŋ
tấp	t ɤ̆5 p
tập	t ɤ̆6 p
tất	t ɤ̆5 t
tật	t ɤ̆6 t
tâu	t ɤ̆1 w
tẩu	t ɤ̆4 w
tấu	t ɤ̆5 w
tậu	t ɤ̆6 w
tây	t ɤ̆1 j
tầy	t ɤ̆2 j
tẩy	t ɤ̆4 j
tấy	t ɤ̆5 j
te	t ɛ1
tè	t ɛ2
tẻ	t ɛ4
té	t ɛ5
téc	t ɛ5 k
tem	t ɛ1 m
tém	t ɛ5 m
ten	t ɛ1 n
tèn	t ɛ2 n
tén	t ɛ5 n
teo	t eo1
tẹo	t eo6
tép	t ɛ5 p
tẹp	t ɛ6 p
tét	t ɛ5 t
tẹt	t ɛ6 t
tê	t e1
tề	t e2
tể	t e4
tễ	t e3
tế	t e5
tệ	t e6
tên	t e1 n
tễnh	t e3 ɲ
tệp	t e6 p
tết	t e5 t
tếu	t ɛu5
tha	tʰ a1
thà	tʰ a2
thả	tʰ a4
thác	tʰ a5 k
thạc	tʰ a6 k
thách	tʰ a5 tʃ
thạch	tʰ a6 tʃ
thai	tʰ a1 j
thài	tʰ a2 j
thải	tʰ a4 j
thãi	tʰ a3 j
thái	tʰ a5 j
tham	tʰ a1 m
thảm	tʰ a4 m
thám	tʰ a5 m
than	tʰ a1 n
thản	tʰ a4 n
thán	tʰ a5 n
thang	tʰ a1 ŋ
thảng	tʰ a4 ŋ
tháng	tʰ a5 ŋ
thanh	tʰ ɛ1 ɲ
thành	tʰ ɛ2 ɲ
thảnh	tʰ ɛ4 ɲ
thánh	tʰ ɛ5 ɲ
thạnh	tʰ ɛ6 ɲ
thao	tʰ a1 w
thào	tʰ a2 w
thảo	tʰ a4 w
tháo	tʰ a5 w
thạo	tʰ a6 w
tháp	tʰ a5 p
thau	tʰ ă1 w
thay	tʰ ă1 j
thày	tʰ ɤ̆2 j
thảy	tʰ ă4 j
thắc	tʰ ă5 k
thăm	tʰ ă1 m
thẳm	tʰ ă4 m
thắm	tʰ ă5 m
thăn	tʰ ă1 n
thằn	tʰ ă2 n
thắn	tʰ ă5 n
thăng	tʰ ă1 ŋ
thằng	tʰ ă2 ŋ
thẳng	tʰ ă4 ŋ
thắng	tʰ ă5 ŋ
thắp	tʰ ă5 p
thắt	tʰ ă5 t
thâm	tʰ ɤ̆1 m
thầm	tʰ ɤ̆2 m
thẩm	tʰ ɤ̆4 m
thẫm	tʰ ɤ̆3 m
thấm	tʰ ɤ̆5 m
thậm	tʰ ɤ̆6 m
thân	tʰ ɤ̆1 n
thần	tʰ ɤ̆2 n
thẩn	tʰ ɤ̆4 n
thẫn	tʰ ɤ̆3 n
thận	tʰ ɤ̆6 n
thấp	tʰ ɤ̆5 p
thập	tʰ ɤ̆6 p
thất	tʰ ɤ̆5 t
thật	tʰ ɤ̆6 t
thâu	tʰ ɤ̆1 w
thầu	tʰ ɤ̆2 w
thấu	tʰ ɤ̆5 w
thây	tʰ ɤ̆1 j
thầy	tʰ ɤ̆2 j
thấy	tʰ ɤ̆5 j
the	tʰ ɛ1
thẻ	tʰ ɛ4
thé	tʰ ɛ5
thèm	tʰ ɛ2 m
then	tʰ ɛ1 n
thẹn	tʰ ɛ6 n
theo	tʰ eo1
thèo	tʰ eo2
thép	tʰ ɛ5 p
thét	tʰ ɛ5 t
thê	tʰ e1
thề	tʰ e2
thể	tʰ e4
thế	tʰ e5
thệ	tʰ e6
thếch	tʰ e5 tʃ
thêm	tʰ e1 m
thềm	tʰ e2 m
thênh	tʰ e1 ɲ
thếp	tʰ e5 p
thết	tʰ e5 t
thêu	tʰ ɛu1
thều	tʰ ɛu2
thểu	tʰ ɛu4
thi	tʰ i1
thì	tʰ i2
thỉ	tʰ i4
thí	tʰ i5
thị	tʰ i6
thia	tʰ iə1
thìa	tʰ iə2
thía	tʰ iə5
thích	tʰ i5 tʃ
thịch	tʰ i6 tʃ
thiếc	tʰ iə5 k
thiêm	tʰ iə1 m
thiềm	tʰ iə2 m
thiên	tʰ iə1 n
thiền	tʰ iə2 n
thiển	tʰ iə4 n
thiến	tʰ iə5 n
thiện	tʰ iə6 n
thiêng	tʰ iə1 ŋ
thiếp	tʰ iə5 p
thiệp	tʰ iə6 p
thiết	tʰ iə5 t
thiệt	tʰ iə6 t
thiêu	tʰ iə1 w
thiều	tʰ iə2 w
thiểu	tʰ iə4 w
thiếu	tʰ iə5 w
thiệu	tʰ iə6 w
thím	tʰ i5 m
thin	tʰ i1 n
thìn	tʰ i2 n
thín	tʰ i5 n
thinh	tʰ i1 ɲ
thình	tʰ i2 ɲ
thỉnh	tʰ i4 ɲ
thính	tʰ i5 ɲ
thịnh	tʰ i6 ɲ
thíp	tʰ i5 p
thít	tʰ i5 t
thịt	tʰ i6 t
thiu	tʰ i1 w
thìu	tʰ i2 w
thỉu	tʰ i4 w
thịu	tʰ i6 w
tho	tʰ ɔ1
thò	tʰ ɔ2
thỏ	tʰ ɔ4
thó	tʰ ɔ5
thọ	tʰ ɔ6
thoa	tʰw ʷa1
thỏa	tʰw ʷa4
thóa	tʰw ʷa5
thoải	tʰw a4 j
thoái	tʰw a5 j
thoại	tʰw a6 j
thoang	tʰw ʷa1 ŋ
thoảng	tʰw ʷa4 ŋ
thoáng	tʰw ʷa5 ŋ
thoát	tʰw ʷa5 t
thoạt	tʰw ʷa6 t
thoăn	tʰw ʷă1 n
thoắng	tʰw ʷă5 ŋ
thoắt	tʰw ʷă5 t
thóc	tʰ ɔ5 k͡p
thọc	tʰ ɔ6 k͡p
thoi	tʰ ɔ1 j
thòi	tʰ ɔ2 j
thỏi	tʰ ɔ4 j
thói	tʰ ɔ5 j
thỏm	tʰ ɔ4 m
thóm	tʰ ɔ5 m
thon	tʰ ɔ1 n
thong	tʰ ɔ1 ŋ͡m
thòng	tʰ ɔ2 ŋ͡m
thõng	tʰ ɔ3 ŋ͡m
thóp	tʰ ɔ5 p
thót	tʰ ɔ5 t
thọt	tʰ ɔ6 t
thô	tʰ o1
thồ	tʰ o2
thổ	tʰ o4
thố	tʰ o5
thốc	tʰ o5 k͡p
thôi	tʰ o1 j
thồi	tʰ o2 j
thổi	tʰ o4 j
thối	tʰ o5 j
thôn	tʰ o1 n
thồn	tʰ o2 n
thốn	tʰ o5 n
thông	tʰ o1 ŋ͡m
thống	tʰ o5 ŋ͡m
thộp	tʰ o6 p
thốt	tʰ o5 t
thơ	tʰ ɤ1
thờ	tʰ ɤ2
thở	tʰ ɤ4
thớ	tʰ ɤ5
thợ	tʰ ɤ6
thơi	tʰ ɤ1 j
