a	a1
đẫm	d ɤ̆3 m
đấm	d ɤ̆5 m
đậm	d ɤ̆6 m
đần	d ɤ̆2 n
đận	d ɤ̆6 n
đấng	d ɤ̆5 ŋ
đập	d ɤ̆6 p
đất	d ɤ̆5 t
đật	d ɤ̆6 t
đâu	d ɤ̆1 w
đầu	d ɤ̆2 w
đẩu	d ɤ̆4 w
đấu	d ɤ̆5 w
đậu	d ɤ̆6 w
đây	d ɤ̆1 j
đầy	d ɤ̆2 j
đẩy	d ɤ̆4 j
đẫy	d ɤ̆3 j
đấy	d ɤ̆5 j
đậy	d ɤ̆6 j
đe	d ɛ1
đè	d ɛ2
đẻ	d ɛ4
đẽ	d ɛ3
đéc	d ɛ5 k
đem	d ɛ1 m
đen	d ɛ1 n
đèn	d ɛ2 n
đeo	d eo1
đèo	d eo2
đẽo	d eo3
đẹp	d ɛ6 p
đét	d ɛ5 t
đẹt	d ɛ6 t
đê	d e1
đề	d e2
để	d e4
đế	d e5
đệ	d e6
đêm	d e1 m
đềm	d e2 m
đếm	d e5 m
đệm	d e6 m
đền	d e2 n
đến	d e5 n
đênh	d e1 ɲ
đềnh	d e2 ɲ
đểnh	d e4 ɲ
đễnh	d e3 ɲ
đêu	d ɛu1
đều	d ɛu2
đểu	d ɛu4
đi	d i1
đĩ	d i3
đìa	d iə2
đĩa	d iə3
địa	d iə6
đích	d i5 tʃ
địch	d i6 tʃ
điếc	d iə5 k
điềm	d iə2 m
điểm	d iə4 m
điếm	d iə5 m
điên	d iə1 n
điền	d iə2 n
điển	d iə4 n
điện	d iə6 n
điếng	d iə5 ŋ
điệp	d iə6 p
điêu	d iə1 w
điều	d iə2 w
điểu	d iə4 w
điếu	d iə5 w
điệu	d iə6 w
đinh	d i1 ɲ
đình	d i2 ɲ
đỉnh	d i4 ɲ
đĩnh	d i3 ɲ
đính	d i5 ɲ
định	d i6 ɲ
đít	d i5 t
đìu	d i2 w
địu	d i6 w
đo	d ɔ1
đò	d ɔ2
đỏ	d ɔ4
đó	d ɔ5
đọ	d ɔ6
đóa	dw ʷa5
đọa	dw ʷa6
đoài	dw a2 j
đoái	dw a5 j
đoan	dw ʷa1 n
đoàn	dw ʷa2 n
đoản	dw ʷa4 n
đoán	dw ʷa5 n
đoạn	dw ʷa6 n
đoàng	dw ʷa2 ŋ
đoảng	dw ʷa4 ŋ
đoạt	dw ʷa6 t
đọc	d ɔ6 k͡p
đòi	d ɔ2 j
đói	d ɔ5 j
đom	d ɔ1 m
đóm	d ɔ5 m
đòn	d ɔ2 n
đón	d ɔ5 n
